alpha_deg,neutral_resolved,unfavorable_6mM_z70,unfavorable_20mM_z70,unfavorable_50mM_z70,unfavorable_100mM_z70,unfavorable_50mM_z50,unfavorable_50mM_z30,unfavorable_100mM_z30,unfavorable_50mM_z70_100xD
88,0.62412,0.62317,0.72541,0.89340,0.98714,0.91638,0.94361,0.99523,0.53367
89,0.62714,0.62992,0.72825,0.89397,0.98890,0.91980,0.94534,0.99523,0.53827
90,0.63216,0.63611,0.73053,0.89735,0.98890,0.91980,0.94591,0.99523,0.54550
91,0.63618,0.63948,0.73280,0.89961,0.98890,0.91980,0.94591,0.99602,0.55141
92,0.63819,0.64567,0.73849,0.90186,0.98890,0.92036,0.94764,0.99602,0.55594
93,0.64322,0.65017,0.74474,0.90525,0.98948,0.92150,0.94937,0.99602,0.56199
94,0.64774,0.65636,0.74986,0.90863,0.98948,0.92321,0.94937,0.99602,0.56731
95,0.66432,0.66423,0.76236,0.91314,0.98948,0.92662,0.95282,0.99602,0.57289
96,0.67186,0.67379,0.77658,0.91314,0.98948,0.93231,0.95397,0.99602,0.57927
97,0.67437,0.67548,0.77771,0.91314,0.98948,0.93288,0.95397,0.99602,0.58505
98,0.67638,0.67942,0.78397,0.91371,0.98948,0.93402,0.95397,0.99602,0.59030
99,0.68492,0.68841,0.78795,0.91540,0.98948,0.93629,0.95570,0.99682,0.59654
100,0.69548,0.69404,0.79761,0.91709,0.99065,0.93743,0.95915,0.99682,0.60239
101,0.70302,0.69685,0.80159,0.91709,0.99065,0.93743,0.95972,0.99682,0.60824
102,0.71106,0.70247,0.80614,0.91822,0.99123,0.93800,0.96087,0.99682,0.61461
103,0.71859,0.71091,0.81410,0.92104,0.99123,0.93970,0.96145,0.99761,0.62197
104,0.72211,0.71485,0.81524,0.92160,0.99123,0.93970,0.96145,0.99761,0.62880
105,0.72613,0.71991,0.81978,0.92273,0.99182,0.94255,0.96260,0.99761,0.63472
106,0.73065,0.72947,0.82547,0.92555,0.99182,0.94312,0.96260,0.99761,0.64089
107,0.73518,0.73341,0.82831,0.92837,0.99182,0.94482,0.96375,0.99761,0.64641
108,0.74322,0.73847,0.83002,0.92950,0.99240,0.94539,0.96433,0.99761,0.65147
109,0.75075,0.74634,0.83286,0.93119,0.99299,0.94767,0.96490,0.99761,0.65745
110,0.75729,0.75309,0.83513,0.93175,0.99416,0.94881,0.96605,0.99761,0.66402
111,0.76231,0.75984,0.84025,0.93401,0.99416,0.95108,0.96663,0.99920,0.67046
112,0.76734,0.76884,0.84025,0.93514,0.99416,0.95108,0.96720,0.99920,0.67545
113,0.77085,0.77390,0.84196,0.93627,0.99416,0.95108,0.96720,0.99920,0.68195
114,0.77940,0.77953,0.84423,0.93796,0.99416,0.95222,0.96778,0.99920,0.68846
115,0.78342,0.78234,0.84537,0.93909,0.99416,0.95392,0.96835,0.99920,0.69463
116,0.78744,0.79078,0.84991,0.94191,0.99416,0.95563,0.96951,0.99920,0.70048
117,0.79497,0.79584,0.85276,0.94247,0.99474,0.95734,0.96951,0.99920,0.70666
118,0.80050,0.80034,0.85617,0.94247,0.99474,0.95791,0.96951,0.99920,0.71165
119,0.80603,0.80934,0.86128,0.94529,0.99474,0.95904,0.97181,0.99920,0.71690
120,0.80854,0.81271,0.86299,0.94585,0.99474,0.95961,0.97238,0.99920,0.72157
121,0.81307,0.81665,0.86697,0.94755,0.99474,0.96075,0.97296,0.99920,0.72702
122,0.81859,0.82452,0.87038,0.94867,0.99474,0.96189,0.97353,0.99920,0.73418
123,0.82161,0.82677,0.87265,0.94924,0.99474,0.96246,0.97353,0.99920,0.74056
124,0.82915,0.83183,0.87663,0.95375,0.99532,0.96473,0.97526,0.99920,0.74561
125,0.83467,0.84139,0.88005,0.95601,0.99532,0.96587,0.97583,0.99920,0.75140
126,0.84020,0.84646,0.88346,0.95939,0.99649,0.96758,0.97583,0.99920,0.75718
127,0.85025,0.85321,0.88914,0.96108,0.99708,0.97042,0.97814,0.99920,0.76171
128,0.85327,0.85714,0.89198,0.96108,0.99708,0.97042,0.97871,0.99920,0.76900
129,0.85678,0.85996,0.89653,0.96447,0.99708,0.97156,0.98044,0.99920,0.77432
130,0.86281,0.86895,0.90506,0.96785,0.99766,0.97270,0.98159,0.99920,0.78149
131,0.86734,0.87120,0.90677,0.96785,0.99766,0.97383,0.98159,0.99920,0.78707
132,0.87085,0.87683,0.91018,0.96842,0.99766,0.97497,0.98159,0.99920,0.79226
133,0.88090,0.88133,0.91529,0.97067,0.99766,0.97725,0.98216,1.00000,0.79791
134,0.88693,0.88526,0.91927,0.97124,0.99766,0.97725,0.98274,1.00000,0.80441
135,0.89347,0.88920,0.92325,0.97349,0.99766,0.97782,0.98389,1.00000,0.80934
136,0.89799,0.89258,0.92780,0.97518,0.99766,0.97952,0.98446,1.00000,0.81572
137,0.90151,0.89539,0.92951,0.97688,0.99766,0.98066,0.98504,1.00000,0.82110
138,0.90905,0.90045,0.93292,0.97744,0.99825,0.98066,0.98619,1.00000,0.82669
139,0.91407,0.90664,0.93633,0.97744,0.99825,0.98237,0.98619,1.00000,0.83188
140,0.91960,0.91339,0.93860,0.97857,0.99825,0.98237,0.98619,1.00000,0.83766
141,0.92563,0.91901,0.94088,0.97913,0.99825,0.98237,0.98677,1.00000,0.84305
142,0.93015,0.92182,0.94201,0.97970,0.99825,0.98407,0.98792,1.00000,0.84962
143,0.93518,0.92801,0.94429,0.98082,0.99825,0.98464,0.98849,1.00000,0.85546
144,0.93970,0.93026,0.94656,0.98139,0.99825,0.98521,0.98849,1.00000,0.86072
145,0.94121,0.93195,0.94770,0.98252,0.99883,0.98578,0.98849,1.00000,0.86650
146,0.94221,0.93420,0.94997,0.98364,0.99883,0.98635,0.99022,1.00000,0.87116
147,0.94422,0.93813,0.95168,0.98477,0.99883,0.98635,0.99079,1.00000,0.87603
148,0.95075,0.94319,0.95452,0.98590,0.99883,0.98749,0.99137,1.00000,0.88056
149,0.95327,0.94544,0.95509,0.98646,0.99883,0.98749,0.99137,1.00000,0.88457
150,0.95678,0.94769,0.95736,0.98703,0.99942,0.98749,0.99194,1.00000,0.89107
151,0.95980,0.95163,0.95907,0.98872,0.99942,0.98805,0.99310,1.00000,0.89593
152,0.96131,0.95726,0.96248,0.98928,0.99942,0.98862,0.99310,1.00000,0.90086
153,0.96382,0.95951,0.96362,0.98928,0.99942,0.98919,0.99367,1.00000,0.90566
154,0.96482,0.95951,0.96475,0.98928,0.99942,0.98919,0.99367,1.00000,0.91078
155,0.96633,0.96119,0.96646,0.98985,0.99942,0.98919,0.99425,1.00000,0.91571
156,0.96784,0.96175,0.96873,0.99041,0.99942,0.98976,0.99425,1.00000,0.92077
157,0.96985,0.96344,0.96987,0.99098,0.99942,0.99090,0.99482,1.00000,0.92563
158,0.97186,0.96682,0.97328,0.99210,0.99942,0.99090,0.99540,1.00000,0.93069
159,0.97588,0.97132,0.97669,0.99210,0.99942,0.99147,0.99597,1.00000,0.93581
160,0.97789,0.97357,0.97953,0.99210,0.99942,0.99204,0.99597,1.00000,0.93969
161,0.98141,0.97750,0.98067,0.99323,1.00000,0.99431,0.99597,1.00000,0.94475
162,0.98342,0.97863,0.98181,0.99380,1.00000,0.99431,0.99597,1.00000,0.94862
163,0.98543,0.97919,0.98294,0.99380,1.00000,0.99431,0.99712,1.00000,0.95263
